index,Test Batch Nº,Test Execution Site,Grease Mass (g)_OB,Parts Assembly Site_OB,Outer Race Track Case Depth (mm)_OB,Outer Race Track Surf. Hardness (HRC)_OB,Inner Race Track Case Depth (mm)_OB,Inner Race Track Surf. Hardness (HRC)_OB,Manufacturing Place - Outer Race_OB,Manufacturing Place - Inner Race_OB,Joint Endurance Torque Class_OB,Joint Endurance Torque Class_OB_2000,Joint Endurance Torque Class_OB_2300,Joint Endurance Torque Class_OB_2600,Joint Endurance Torque Class_OB_2900,Joint Endurance Torque Class_OB_3300,Joint Endurance Torque Class_OB_3700,Joint Endurance Torque Class_OB_4100,Joint Endurance Torque Class_OB_4600,Joint Endurance Torque Class_OB_5100,Joint Endurance Torque Class_OB_5600,Joint Endurance Torque Class_OB_6200,DamageGradingSum,Temp_RI_max,Temp_24hr_max,Temp_Stable_max,Life left after BI,MacDmg_Reported,Obsv_Pred_50,Obsv_Pred_10,copy_joint_Endurance,Grade_copy,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9
1360,150132EMB19,GKN BRU,164.0,GKN ESK,,,,,,,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28,51.0,69.0,63.0,0.995029476,0.568671862,0.408528637,1.112207827,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1361,230084EMB17,GKN OLE,,GKN ESK,,,,,,,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,52.6,74.1,77.0,0.995029476,0.568671862,0.408528637,1.112207827,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1362,241105EMB16,GKN DLD,,GKN OLE,,,,,,,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23,31.0,38.0,33.0,0.995583837,0.911625139,0.386036476,1.112687829,4100,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1363,241105EMB16,GKN DLD,,GKN OLE,,,,,,,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23,37.0,49.0,40.0,0.995583837,0.911625139,0.386036476,1.112687829,4100,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1364,172257ESL02,GKN LOH,208.0,GKN LOH,,,,,GKN LOH,GKN LOH,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28,47.0,59.0,59.0,0.993359826,0.309399665,0.37690299,1.114150755,4100,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1365,192590ESL10,GKN LOH,208.0,GKN LOH,,,,,,,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,55.0,60.0,55.0,0.993359826,1.860217736,0.338486041,1.121626612,4100,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1366,231304EMB16,GKN OLE,115.0,GKN OLE,,,,,,,3300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,39.9,51.6,53.9,0.984451461,1.860437784,0.338526081,1.121759291,3300,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1367,200476ESL03,GKN ZUM,,GKN VIG,,,,,,,3300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,47.0,61.0,73.0,0.991537642,1.862977005,0.338988119,1.123290325,3300,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1368,120157ESL03,GKN LOH,208.0,GKN LOH,,,,,GKN MOS,GKN MOS,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,49.0,60.0,52.0,0.993359826,2.463738069,0.321620029,1.125148682,4100,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1369,231991EHT08,GKN ZUM,77.0,GKN VIG,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,44.0,39.0,42.0,0.994354659,1.866657628,0.339657847,1.125509574,2900,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1370,200192ESL01,GKN LOH,208.0,GKN LOH,,,,,GKN LOH,GKN LOH,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,60.0,77.0,73.0,0.993359826,1.354101001,0.363088165,1.126821171,4100,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1371,180465ESL01,GKN LOH,208.0,GKN LOH,,,,,GKN LOH,GKN LOH,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32,53.0,63.0,62.0,0.993359826,0.133691213,0.206249943,1.128195891,4100,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1372,191192ESL01,GKN ZUM,,GKN VIG,1.6,58.0,,,GKN VIG,GKN VIG,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20,57.0,57.0,69.0,0.993359826,1.894595477,0.34474143,1.142354825,4100,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1373,201365EHS08,GKN DAI,132.0,GKN TOC,2.26,61.0,1.3,62.8,GKN VIG,GKN CEL,3300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,48.0,77.0,69.0,0.995824032,0.31891813,0.388498148,1.148426827,3300,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1607,220107ESL01,GKN ZUM,,GKN ZUM,,,,,,,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22,73.0,89.0,96.0,0.993359826,1.596655059,0.428126524,1.328663609,4100,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1374,201365EHS08,GKN DAI,132.0,GKN TOC,2.26,61.0,1.3,62.8,GKN VIG,GKN CEL,3300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,50.0,76.0,73.0,0.995824032,0.31891813,0.388498148,1.148426827,3300,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1375,201365EHS08,GKN DAI,132.0,GKN TOC,2.26,61.0,1.3,62.8,GKN VIG,GKN CEL,3300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,50.0,80.0,76.0,0.995824032,0.31891813,0.388498148,1.148426827,3300,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1376,200804EMB01,GKN CEL,123.0,GKN VLG,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,44.8,59.2,57.1,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1377,231845EMB11,GKN OLE,,GKN VIG,,,,,,,2900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,45.1,56.9,60.2,0.994875961,0.588620555,0.422859594,1.151223459,2900,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
